seed,condition,mode,EN_initial,EN_final250,EN_gain,JA_initial,JA_final_shared,JA_final_routed,JA_shared_increase,JA_routed_increase,trainable_parameters
32002,JA_TEN,FULL,3.21463446286162,2.427854277809215,0.7867801850524048,1.894309994602683,2.576732656797721,2.2663836986209063,0.682422662195038,0.3720737040182234,141056
32002,JA_TEN,HEAD_ONLY,3.21463446286162,2.6688321478863237,0.5458023149752962,1.894309994602683,2.1038337487879213,1.894309994602683,0.2095237541852384,0.0,16384
32002,JA_TEN,BODY_ONLY,3.21463446286162,2.496087904741877,0.7185465581197428,1.894309994602683,2.503750938033102,2.503750938033102,0.6094409434304191,0.6094409434304191,124672
32003,JA_TJA,FULL,3.209515605159464,2.417703489404069,0.7918121157553948,1.8790069471698432,2.559688908722307,2.228878265278475,0.680681961552464,0.3498713181086319,141056
32003,JA_TJA,HEAD_ONLY,3.209515605159464,2.690025510687518,0.519490094471946,1.8790069471698432,2.11727366681969,1.8790069471698432,0.23826671964984691,0.0,16384
32003,JA_TJA,BODY_ONLY,3.209515605159464,2.4831480034327598,0.7263676017267042,1.8790069471698432,2.418595190988437,2.418595190988437,0.5395882438185937,0.5395882438185937,124672
32003,JA_TEN,FULL,3.156951267454757,2.409462786185289,0.747488481269468,1.8863930158167663,2.56047358841139,2.2118050849895634,0.6740805725946235,0.3254120691727971,141056
32003,JA_TEN,HEAD_ONLY,3.156951267454757,2.6694295367580656,0.48752173069669125,1.8863930158167663,2.126537042564308,1.8863930158167663,0.24014402674754165,0.0,16384
32003,JA_TEN,BODY_ONLY,3.156951267454757,2.477188552067496,0.6797627153872607,1.8863930158167663,2.383903405572203,2.383903405572203,0.4975103897554367,0.4975103897554367,124672
32004,JA_TJA,FULL,3.327806079709713,2.4217764921395313,0.9060295875701816,1.8722048299379812,2.5809667868779855,2.2656688145852306,0.7087619569400043,0.3934639846472494,141056
32004,JA_TJA,HEAD_ONLY,3.327806079709713,2.679106923542285,0.648699156167428,1.8722048299379812,2.175303472548429,1.8722048299379812,0.3030986426104476,0.0,16384
32004,JA_TJA,BODY_ONLY,3.327806079709713,2.4974728299536264,0.8303332497560865,1.8722048299379812,2.5766805872779734,2.5766805872779734,0.7044757573399922,0.7044757573399922,124672
32004,JA_TEN,FULL,3.2809205384641325,2.4178767517531337,0.8630437867109988,1.8845228512910057,2.590530552199441,2.266188802394027,0.7060077009084353,0.38166595110302115,141056
32004,JA_TEN,HEAD_ONLY,3.2809205384641325,2.663331271806558,0.6175892666575744,1.8845228512910057,2.1550369162413707,1.8845228512910057,0.270514064950365,0.0,16384
32004,JA_TEN,BODY_ONLY,3.2809205384641325,2.4918701055451065,0.789050432919026,1.8845228512910057,2.5782320440397326,2.5782320440397326,0.6937091927487269,0.6937091927487269,124672
32005,JA_TJA,FULL,3.2208165952155636,2.4331707504153997,0.787645844800164,1.890824780993979,2.479651750361653,2.2033143679763527,0.5888269693676738,0.3124895869823736,141056
32005,JA_TJA,HEAD_ONLY,3.2208165952155636,2.687033510210545,0.5337830850050187,1.890824780993979,2.125354731777477,1.890824780993979,0.23452995078349792,0.0,16384
32005,JA_TJA,BODY_ONLY,3.2208165952155636,2.501326862211789,0.7194897330037748,1.890824780993979,2.4058765810427847,2.4058765810427847,0.5150518000488056,0.5150518000488056,124672
32005,JA_TEN,FULL,3.1631960613323056,2.4269158827355324,0.7362801785967732,1.9003247594552646,2.49295153218746,2.1953515517595914,0.5926267727321954,0.2950267923043268,141056
32005,JA_TEN,HEAD_ONLY,3.1631960613323056,2.666808621434481,0.49638743989782474,1.9003247594552646,2.108253751341941,1.9003247594552646,0.20792899188667646,0.0,16384
32005,JA_TEN,BODY_ONLY,3.1631960613323056,2.4894725128080633,0.6737235485242423,1.9003247594552646,2.3893300288332133,2.3893300288332133,0.48900526937794875,0.48900526937794875,124672
32006,JA_TJA,FULL,3.1938355049501066,2.442654978447094,0.7511805265030125,1.8994586257472392,2.807256955833057,2.3497775415532582,0.9077983300858177,0.450318915806019,141056
32006,JA_TJA,HEAD_ONLY,3.1938355049501066,2.675026384743206,0.5188091202069005,1.8994586257472392,2.0789126102968836,1.8994586257472392,0.17945398454964434,0.0,16384
32006,JA_TJA,BODY_ONLY,3.1938355049501066,2.502014877784786,0.6918206271653204,1.8994586257472392,2.6685337021352917,2.6685337021352917,0.7690750763880525,0.7690750763880525,124672
32006,JA_TEN,FULL,3.1381149355174442,2.4285372689291904,0.7095776665882538,1.9082964283222965,2.8560508824103326,2.3467253469212617,0.947754454088036,0.43842891859896516,141056
32006,JA_TEN,HEAD_ONLY,3.1381149355174442,2.6550467063423704,0.48306822917507386,1.9082964283222965,2.1035190188238446,1.9082964283222965,0.1952225905015481,0.0,16384
32006,JA_TEN,BODY_ONLY,3.1381149355174442,2.489810898784421,0.6483040367330233,1.9082964283222965,2.6503847055685577,2.6503847055685577,0.7420882772462611,0.7420882772462611,124672
32007,JA_TJA,FULL,3.3738788162121636,2.4347881712819217,0.9390906449302419,1.9174469555135671,2.7420294908432457,2.3067194113595164,0.8245825353296785,0.3892724558459493,141056
32007,JA_TJA,HEAD_ONLY,3.3738788162121636,2.715043860425974,0.6588349557861894,1.9174469555135671,2.179346784638531,1.9174469555135671,0.2618998291249637,0.0,16384
32007,JA_TJA,BODY_ONLY,3.3738788162121636,2.508089729389066,0.8657890868230975,1.9174469555135671,2.499087837838862,2.499087837838862,0.581640882325295,0.581640882325295,124672
32007,JA_TEN,FULL,3.307895333599507,2.4301485124720466,0.8777468211274604,1.9278521382685516,2.6860099999056173,2.2723681122675536,0.7581578616370657,0.344515973999002,141056
32007,JA_TEN,HEAD_ONLY,3.307895333599507,2.6845734861100032,0.6233218474895037,1.9278521382685516,2.1878835571279787,1.9278521382685516,0.26003141885942704,0.0,16384
32007,JA_TEN,BODY_ONLY,3.307895333599507,2.5018063209054544,0.8060890126940525,1.9278521382685516,2.4772560082045625,2.4772560082045625,0.5494038699360109,0.5494038699360109,124672
32008,JA_TJA,FULL,3.238275114420945,2.4385086365207633,0.7997664779001816,1.8456769317072463,2.5620040144621914,2.1616147973726174,0.716327082754945,0.3159378656653711,141056
32008,JA_TJA,HEAD_ONLY,3.238275114420945,2.6677113345469134,0.5705637798740315,1.8456769317072463,2.1168701283617284,1.8456769317072463,0.27119319665448205,0.0,16384
32008,JA_TJA,BODY_ONLY,3.238275114420945,2.5019374369386376,0.7363376774823074,1.8456769317072463,2.3384870673189955,2.3384870673189955,0.49281013561174913,0.49281013561174913,124672
32008,JA_TEN,FULL,3.1838157012017767,2.4324927339572824,0.7513229672444943,1.8588686903804725,2.588188740761614,2.1545607659296255,0.7293200503811414,0.295692075549153,141056
32008,JA_TEN,HEAD_ONLY,3.1838157012017767,2.648070976163454,0.5357447250383225,1.8588686903804725,2.1052609607879353,1.8588686903804725,0.2463922704074628,0.0,16384
32008,JA_TEN,BODY_ONLY,3.1838157012017767,2.4932523821721593,0.6905633190296174,1.8588686903804725,2.323523008939199,2.323523008939199,0.4646543185587264,0.4646543185587264,124672
32009,JA_TJA,FULL,3.1445598229425396,2.443077450456411,0.7014823724861285,1.8932849114169812,2.646284753530232,2.2872545061539333,0.7529998421132509,0.39396959473695214,141056
32009,JA_TJA,HEAD_ONLY,3.1445598229425396,2.702299106582142,0.44226071636039777,1.8932849114169812,2.125629423179162,1.8932849114169812,0.23234451176218074,0.0,16384
32009,JA_TJA,BODY_ONLY,3.1445598229425396,2.513732800450232,0.6308270224923076,1.8932849114169812,2.5789373284924437,2.5789373284924437,0.6856524170754625,0.6856524170754625,124672
32009,JA_TEN,FULL,3.1084251620230976,2.4402926053993585,0.668132556623739,1.902985365364676,2.7391688427737173,2.2448838975774104,0.8361834774090413,0.34189853221273436,141056
32009,JA_TEN,HEAD_ONLY,3.1084251620230976,2.683680540866313,0.4247446211567847,1.902985365364676,2.119480637580593,1.902985365364676,0.21649527221591702,0.0,16384
32009,JA_TEN,BODY_ONLY,3.1084251620230976,2.5077370602480347,0.6006881017750629,1.902985365364676,2.500883406585978,2.500883406585978,0.5978980412213022,0.5978980412213022,124672
